               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.014208,           0.0090412,           0.0018059,             0.88922,             0.95309,             0.96756,             0.90903,           0.0052005,           0.0032834,           0.0002281,            0.006106,            0.006106,            0.006106
                  61,             0.01415,           0.0088954,           0.0018567,             0.87517,             0.96914,             0.96731,             0.90994,           0.0051962,           0.0032699,          0.00022512,             0.00604,             0.00604,             0.00604
                  62,            0.014199,           0.0089508,           0.0023275,             0.88617,             0.95882,             0.96743,             0.91022,           0.0051867,           0.0032601,          0.00022368,            0.005974,            0.005974,            0.005974
                  63,             0.01424,           0.0091937,            0.002241,             0.88807,             0.96035,             0.96876,             0.91142,           0.0051552,           0.0032426,          0.00022573,            0.005908,            0.005908,            0.005908
                  64,            0.013958,           0.0089391,           0.0019173,             0.88508,             0.96458,             0.96898,             0.91166,           0.0051378,            0.003232,           0.0002238,            0.005842,            0.005842,            0.005842
                  65,             0.01418,           0.0089352,           0.0020962,             0.88705,             0.96474,             0.96874,             0.91154,           0.0051359,           0.0032231,          0.00022191,            0.005776,            0.005776,            0.005776
                  66,            0.014022,           0.0090553,             0.00214,             0.88749,              0.9659,             0.96905,             0.91139,           0.0051498,           0.0032222,          0.00022197,             0.00571,             0.00571,             0.00571
                  67,            0.014222,           0.0091174,           0.0018831,             0.88455,             0.96272,             0.96834,              0.9114,           0.0051592,           0.0032202,          0.00022147,            0.005644,            0.005644,            0.005644
                  68,            0.013896,           0.0088389,           0.0016543,             0.88052,             0.96681,             0.96841,             0.91212,           0.0051495,           0.0032183,          0.00022015,            0.005578,            0.005578,            0.005578
                  69,            0.013664,           0.0085729,           0.0015472,             0.88133,             0.96716,             0.96847,             0.91212,           0.0051367,           0.0032127,          0.00021882,            0.005512,            0.005512,            0.005512
                  70,            0.013831,           0.0088367,           0.0018932,             0.88148,             0.96768,             0.96858,              0.9134,           0.0051203,           0.0032061,           0.0002168,            0.005446,            0.005446,            0.005446
                  71,            0.013664,           0.0086271,           0.0018965,             0.88076,             0.96845,              0.9692,             0.91302,           0.0051055,            0.003205,          0.00021532,             0.00538,             0.00538,             0.00538
                  72,            0.013523,           0.0087477,           0.0019404,             0.88068,             0.97006,             0.96909,             0.91317,           0.0050896,           0.0032031,          0.00021344,            0.005314,            0.005314,            0.005314
                  73,            0.013913,            0.008904,            0.002136,             0.87915,             0.97074,             0.96884,             0.91304,           0.0050803,           0.0032042,          0.00021183,            0.005248,            0.005248,            0.005248
                  74,            0.013605,           0.0087635,           0.0019153,             0.88032,             0.96969,              0.9687,             0.91388,           0.0050696,           0.0032056,           0.0002099,            0.005182,            0.005182,            0.005182
                  75,            0.013527,           0.0086216,           0.0018507,             0.87935,             0.96967,             0.96861,             0.91426,           0.0050585,           0.0032058,          0.00020827,            0.005116,            0.005116,            0.005116
                  76,            0.013561,           0.0085868,           0.0016408,             0.87984,             0.96922,             0.96874,             0.91425,           0.0050471,            0.003204,          0.00020705,             0.00505,             0.00505,             0.00505
                  77,            0.013282,           0.0085462,            0.001734,              0.8809,             0.96849,             0.96858,             0.91441,           0.0050406,           0.0032027,          0.00020633,            0.004984,            0.004984,            0.004984
                  78,             0.01321,           0.0085565,           0.0015924,             0.88022,              0.9681,              0.9687,             0.91462,           0.0050346,           0.0031985,          0.00020486,            0.004918,            0.004918,            0.004918
                  79,            0.012953,           0.0084416,           0.0015081,             0.88356,             0.96441,             0.96877,             0.91456,           0.0050298,           0.0031976,          0.00020368,            0.004852,            0.004852,            0.004852
                  80,            0.012998,           0.0083175,           0.0017235,             0.87861,             0.96967,             0.96871,             0.91471,           0.0050233,           0.0031974,          0.00020268,            0.004786,            0.004786,            0.004786
                  81,            0.013243,           0.0085008,           0.0016742,             0.88036,             0.96754,             0.96865,             0.91492,           0.0050101,           0.0031947,          0.00020196,             0.00472,             0.00472,             0.00472
                  82,             0.01295,           0.0083237,           0.0014162,             0.88411,             0.96312,             0.96866,             0.91526,           0.0050005,           0.0031934,          0.00020093,            0.004654,            0.004654,            0.004654
                  83,            0.013035,           0.0083635,           0.0017021,             0.88467,             0.96292,             0.96857,             0.91501,           0.0049929,           0.0031915,          0.00019983,            0.004588,            0.004588,            0.004588
                  84,            0.012832,           0.0083115,           0.0014841,             0.88107,             0.96753,             0.96866,             0.91532,           0.0049841,           0.0031919,          0.00019902,            0.004522,            0.004522,            0.004522
                  85,            0.012867,           0.0082306,           0.0013602,             0.88154,             0.96742,             0.96866,             0.91534,           0.0049776,           0.0031904,          0.00019838,            0.004456,            0.004456,            0.004456
                  86,             0.01253,           0.0082891,           0.0015448,              0.8812,             0.96864,             0.96866,             0.91525,           0.0049667,           0.0031888,          0.00019737,             0.00439,             0.00439,             0.00439
                  87,            0.012831,           0.0083054,           0.0016372,             0.88723,             0.96247,             0.96864,             0.91546,            0.004959,           0.0031883,          0.00019657,            0.004324,            0.004324,            0.004324
                  88,            0.012695,           0.0083039,           0.0015682,             0.88805,              0.9634,             0.96873,             0.91594,           0.0049507,           0.0031826,          0.00019523,            0.004258,            0.004258,            0.004258
                  89,            0.012744,           0.0080909,            0.001312,             0.88709,             0.96466,             0.96876,             0.91598,           0.0049401,           0.0031785,          0.00019418,            0.004192,            0.004192,            0.004192
                  90,            0.012613,           0.0079873,           0.0013873,             0.88796,             0.96472,             0.96875,             0.91568,           0.0049328,           0.0031754,          0.00019339,            0.004126,            0.004126,            0.004126
                  91,            0.012457,           0.0080717,           0.0012466,             0.88714,             0.96598,              0.9689,             0.91594,           0.0049222,           0.0031724,          0.00019253,             0.00406,             0.00406,             0.00406
                  92,            0.012375,           0.0079846,           0.0014348,             0.88767,             0.96596,             0.96926,             0.91676,           0.0049129,           0.0031699,          0.00019169,            0.003994,            0.003994,            0.003994
                  93,            0.012287,           0.0079669,           0.0011887,             0.88778,              0.9665,             0.96928,             0.91673,           0.0049041,           0.0031666,          0.00019111,            0.003928,            0.003928,            0.003928
                  94,            0.012242,           0.0077631,           0.0012179,             0.88768,             0.96632,             0.96928,             0.91646,           0.0048957,           0.0031635,          0.00018978,            0.003862,            0.003862,            0.003862
                  95,            0.012343,           0.0079218,           0.0014395,             0.88771,             0.96639,             0.96917,             0.91702,           0.0048848,           0.0031593,          0.00018875,            0.003796,            0.003796,            0.003796
