               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.016145,            0.010298,           0.0036317,             0.88891,             0.95577,             0.96128,             0.86498,           0.0070267,           0.0039033,          0.00071804,            0.004555,            0.004555,            0.004555
                  57,            0.015627,            0.010069,           0.0032005,             0.89303,             0.96108,             0.96734,             0.86778,           0.0072525,           0.0038434,          0.00073368,            0.004456,            0.004456,            0.004456
                  58,            0.015904,             0.01033,           0.0036758,             0.86535,             0.96387,             0.96053,             0.86437,           0.0071177,           0.0039617,           0.0007824,            0.004357,            0.004357,            0.004357
                  59,            0.015299,            0.010169,           0.0030477,             0.88938,             0.95929,              0.9636,             0.87207,           0.0066858,           0.0037917,          0.00060867,            0.004258,            0.004258,            0.004258
                  60,            0.015037,           0.0098027,           0.0023578,             0.89984,             0.92795,             0.96238,             0.87211,           0.0067355,            0.003789,          0.00058791,            0.004159,            0.004159,            0.004159
                  61,            0.015063,             0.00982,           0.0023111,             0.88214,             0.96202,             0.96692,             0.87634,           0.0067412,           0.0037123,          0.00055847,             0.00406,             0.00406,             0.00406
                  62,            0.015246,           0.0098301,           0.0024782,             0.88378,              0.9677,             0.96684,             0.87995,           0.0065299,           0.0037365,          0.00058706,            0.003961,            0.003961,            0.003961
                  63,            0.014896,           0.0097175,           0.0026511,              0.8965,             0.96368,             0.96333,             0.87555,           0.0064846,           0.0037815,          0.00051627,            0.003862,            0.003862,            0.003862
                  64,            0.014635,           0.0096288,           0.0023814,             0.89537,             0.96407,             0.96597,             0.87916,           0.0065393,           0.0037818,          0.00060789,            0.003763,            0.003763,            0.003763
                  65,            0.014381,           0.0094364,           0.0021324,             0.89785,             0.96227,             0.96484,             0.88107,           0.0063946,           0.0037342,          0.00054872,            0.003664,            0.003664,            0.003664
                  66,            0.014225,           0.0094214,           0.0020558,             0.90629,              0.9611,             0.96527,             0.87823,           0.0064145,           0.0037247,          0.00048635,            0.003565,            0.003565,            0.003565
                  67,             0.01427,           0.0095283,           0.0020393,             0.88727,             0.97043,             0.96746,             0.88378,           0.0062861,           0.0037353,          0.00051276,            0.003466,            0.003466,            0.003466
                  68,            0.014437,           0.0095308,           0.0023499,             0.86702,             0.97397,              0.9627,             0.87731,           0.0064578,           0.0037702,          0.00051891,            0.003367,            0.003367,            0.003367
                  69,            0.013803,           0.0092485,           0.0020024,             0.89357,             0.96848,             0.96904,             0.88645,           0.0062537,           0.0036908,          0.00046546,            0.003268,            0.003268,            0.003268
                  70,            0.014185,           0.0092399,           0.0021295,             0.88088,             0.97241,             0.96698,             0.88632,            0.006333,           0.0036791,           0.0004593,            0.003169,            0.003169,            0.003169
                  71,            0.013536,           0.0091361,           0.0018518,             0.89016,             0.96642,             0.96506,             0.88381,           0.0063493,           0.0037703,          0.00048751,             0.00307,             0.00307,             0.00307
                  72,            0.013802,            0.009338,           0.0022885,             0.88382,             0.97045,              0.9643,             0.88149,           0.0062843,           0.0037847,          0.00048529,            0.002971,            0.002971,            0.002971
