               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.019009,           0.0097514,            0.003338,             0.73969,             0.86446,             0.86824,              0.7722,            0.011454,            0.006981,           0.0024206,            0.003466,            0.003466,            0.003466
                  68,            0.019205,            0.009913,           0.0050642,             0.69859,             0.90935,             0.84764,             0.75885,            0.012656,           0.0076156,           0.0058054,            0.003367,            0.003367,            0.003367
                  69,            0.018336,           0.0096289,           0.0039239,             0.69448,             0.90761,             0.84968,             0.75532,            0.012739,           0.0069501,            0.010341,            0.003268,            0.003268,            0.003268
                  70,             0.01873,           0.0092306,           0.0034248,             0.67197,             0.94959,             0.84847,             0.75595,            0.013351,           0.0076074,           0.0081958,            0.003169,            0.003169,            0.003169
                  71,            0.019801,           0.0090771,           0.0035525,             0.71799,             0.92572,             0.86508,             0.78783,            0.012068,           0.0069884,            0.004331,             0.00307,             0.00307,             0.00307
                  72,            0.019303,           0.0091428,           0.0037299,             0.80919,             0.81337,             0.87001,             0.78467,            0.011803,           0.0069914,           0.0027907,            0.002971,            0.002971,            0.002971
                  73,            0.017708,           0.0088282,           0.0046653,             0.78356,             0.79931,             0.86606,             0.78352,            0.012038,             0.00742,           0.0034687,            0.002872,            0.002872,            0.002872
                  74,            0.019576,           0.0089633,           0.0032506,             0.78538,             0.83972,             0.86254,             0.78278,            0.012573,           0.0072678,           0.0089585,            0.002773,            0.002773,            0.002773
                  75,            0.017656,           0.0091255,           0.0018083,             0.71926,             0.85997,             0.85737,             0.78855,            0.010961,           0.0070394,            0.011998,            0.002674,            0.002674,            0.002674
                  76,            0.016961,           0.0097325,           0.0024877,             0.78525,                0.79,             0.86057,             0.78564,            0.010712,           0.0067379,            0.012295,            0.002575,            0.002575,            0.002575
                  77,            0.016659,           0.0088842,           0.0031258,             0.82761,             0.77951,             0.86682,             0.79679,            0.010423,           0.0065976,            0.010693,            0.002476,            0.002476,            0.002476
                  78,            0.016794,           0.0086861,           0.0037204,              0.7451,                0.89,             0.87203,             0.80226,            0.010185,           0.0065504,           0.0050076,            0.002377,            0.002377,            0.002377
                  79,            0.016742,           0.0090602,           0.0030637,             0.75027,              0.8769,             0.86378,             0.79646,            0.010321,           0.0062923,           0.0048799,            0.002278,            0.002278,            0.002278
                  80,            0.016662,           0.0084901,           0.0023962,             0.75161,             0.86683,              0.8685,             0.80895,             0.01005,           0.0062737,           0.0049123,            0.002179,            0.002179,            0.002179
                  81,            0.015909,           0.0081988,           0.0027664,             0.72064,             0.91461,             0.87375,              0.8136,            0.010041,            0.006237,           0.0032318,             0.00208,             0.00208,             0.00208
                  82,            0.017073,           0.0082021,           0.0020922,             0.75912,             0.88481,             0.87009,             0.81206,            0.010133,           0.0064496,           0.0020792,            0.001981,            0.001981,            0.001981
                  83,            0.015726,           0.0081248,              0.0025,             0.73868,              0.9113,             0.86124,             0.79508,            0.010579,           0.0069492,           0.0022033,            0.001882,            0.001882,            0.001882
                  84,            0.015047,           0.0080867,           0.0033215,             0.70125,             0.95002,             0.87256,             0.80038,            0.010538,           0.0071204,           0.0017626,            0.001783,            0.001783,            0.001783
                  85,            0.015604,           0.0091948,           0.0036501,             0.70105,             0.92517,             0.87828,             0.80926,            0.010751,           0.0067906,           0.0023762,            0.001684,            0.001684,            0.001684
                  86,            0.015994,           0.0086618,           0.0022379,             0.67737,             0.94697,             0.87143,             0.80494,            0.010397,             0.00661,           0.0035501,            0.001585,            0.001585,            0.001585
                  87,            0.015492,           0.0084256,           0.0022166,             0.74436,              0.8845,             0.87668,             0.81701,           0.0099044,           0.0061851,            0.003789,            0.001486,            0.001486,            0.001486
                  88,            0.014838,           0.0080241,           0.0026102,             0.71174,             0.93276,             0.87331,             0.81534,           0.0095411,           0.0060977,           0.0034972,            0.001387,            0.001387,            0.001387
                  89,            0.016253,           0.0083744,           0.0031345,             0.72816,             0.92952,             0.87154,             0.80984,           0.0098458,           0.0063376,            0.002382,            0.001288,            0.001288,            0.001288
                  90,            0.015264,           0.0079421,           0.0031322,             0.73015,             0.92471,             0.86107,             0.80909,           0.0093397,           0.0064053,           0.0018727,            0.001189,            0.001189,            0.001189
                  91,            0.014611,           0.0078836,           0.0022907,             0.72612,             0.89764,             0.85841,             0.79999,           0.0098921,           0.0066629,           0.0016112,             0.00109,             0.00109,             0.00109
                  92,             0.01541,           0.0084768,           0.0023647,             0.80729,             0.80645,             0.86761,             0.80215,           0.0095634,           0.0067162,           0.0016257,            0.000991,            0.000991,            0.000991
                  93,            0.014632,           0.0076646,           0.0022287,             0.74145,             0.92843,             0.86858,             0.80781,           0.0096216,           0.0065828,           0.0016604,            0.000892,            0.000892,            0.000892
                  94,            0.014646,           0.0077424,           0.0027381,             0.72538,             0.93648,             0.86749,             0.81098,           0.0098745,           0.0064969,           0.0018314,            0.000793,            0.000793,            0.000793
                  95,            0.013679,           0.0081327,            0.001637,             0.76234,             0.86936,             0.86832,             0.81459,           0.0097225,           0.0064926,           0.0018271,            0.000694,            0.000694,            0.000694
                  96,            0.015095,           0.0079558,           0.0019335,             0.71929,             0.94826,             0.86495,             0.81185,           0.0097857,           0.0064934,           0.0019261,            0.000595,            0.000595,            0.000595
                  97,            0.014551,           0.0081859,           0.0031438,              0.7796,             0.84764,             0.86603,             0.81755,           0.0092631,            0.006564,           0.0019825,            0.000496,            0.000496,            0.000496
                  98,            0.014524,           0.0075583,           0.0037282,             0.76564,             0.85429,              0.8666,             0.81176,           0.0096077,           0.0067102,           0.0020947,            0.000397,            0.000397,            0.000397
                  99,            0.014433,           0.0078682,           0.0025633,             0.76558,             0.86847,             0.86538,             0.81074,           0.0098887,           0.0067978,           0.0024541,            0.000298,            0.000298,            0.000298
